run_name,sample_trust_mode,batch_size,seed,epochs,model,hidden_dim,learning_rate,weight_decay,min_trust,max_trust,lambda_loss,lambda_entropy,use_leave_one_out,train_size,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_acc,epoch_best_test_acc,final_trust_mean,final_trust_std,final_trust_min,final_trust_max,notes
sample_trust_20260504_025508_mlp_combined_simple_bs128_lr0p001_seed0,combined_simple,128,0,10,mlp,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.07188793944650226,0.9798888888888889,0.15823868691921233,0.957,0.957,10,0.0963100574805703,0.1014983492942763,0.05000000074505806,0.5503823442358367,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_none_bs16_lr0p001_seed0,none,16,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.013487811590196644,0.9955555555555555,0.07482107601794269,0.9785,0.981,6,1.0,0.0,1.0,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_confidence_bs16_lr0p001_seed0,confidence,16,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.005497205969006685,0.9892222222222222,0.1488734918906838,0.979,0.9815,6,0.988562574818545,0.040809008300483555,0.8347436388223357,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_entropy_bs16_lr0p001_seed0,entropy,16,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.015615969916978126,0.9934444444444445,0.07153326957674654,0.9795,0.983,9,0.9860816565118928,0.04135759342658327,0.8372846713180441,0.9999999466416679,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_inverse_loss_bs16_lr0p001_seed0,inverse_loss,16,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.005208937740595305,0.9907777777777778,0.10331736720525263,0.9825,0.9825,8,0.9897548025920591,0.03641928811574895,0.8537458848360376,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_final_layer_align_bs16_lr0p001_seed0,final_layer_align,16,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.11134889623593093,0.9937777777777778,0.05153635755919549,0.9845,0.9845,10,0.16761191866855216,0.24140924764515875,0.05000000074505806,0.9288060048968924,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_final_layer_align_mag_bs16_lr0p001_seed0,final_layer_align_mag,16,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.1088897714030334,0.9947777777777778,0.08884220854597516,0.977,0.983,6,0.1492818635797416,0.23447224470004308,0.05000000074505806,0.9256940857767,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_ema_final_layer_align_bs16_lr0p001_seed0,ema_final_layer_align,16,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.0705841766689571,0.9943333333333333,0.08575616838724819,0.9735,0.981,7,0.11419781253774043,0.10785680448472645,0.05000000074505806,0.4104326874361792,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_combined_simple_bs16_lr0p001_seed0,combined_simple,16,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.048099483229386016,0.992,0.09604041516394926,0.983,0.983,10,0.11443356263780467,0.18820145870285973,0.05000000074505806,0.785806880003341,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_none_bs32_lr0p001_seed0,none,32,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.016051936125305172,0.9945555555555555,0.12448607864405495,0.9645,0.983,9,1.0,0.0,1.0,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_confidence_bs32_lr0p001_seed0,confidence,32,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.006031487735306857,0.9898888888888889,0.10590057217090293,0.9795,0.9795,10,0.988648699319109,0.054262531368673685,0.7021711342538713,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_entropy_bs32_lr0p001_seed0,entropy,32,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.014006984905136051,0.9941111111111111,0.0487495154957287,0.985,0.985,10,0.981807529292208,0.06032951869849109,0.700182225740125,0.9999999190475923,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_inverse_loss_bs32_lr0p001_seed0,inverse_loss,32,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.0070192804884327414,0.9876666666666667,0.12414979722590942,0.9735,0.98,9,0.9862081867160527,0.06457845580338398,0.6489483526650262,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_final_layer_align_bs32_lr0p001_seed0,final_layer_align,32,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.11088187798360984,0.9941111111111111,0.04642727675591595,0.9875,0.9875,10,0.15001630225608534,0.1972113236626412,0.05000000074505806,0.8946436030644898,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_final_layer_align_mag_bs32_lr0p001_seed0,final_layer_align_mag,32,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.1116322996364389,0.9948888888888889,0.08028485020250083,0.978,0.981,7,0.12162361441985935,0.18470217472483927,0.05000000074505806,0.9105084978096875,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_ema_final_layer_align_bs32_lr0p001_seed0,ema_final_layer_align,32,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.07511769504420873,0.9916666666666667,0.06325635977461934,0.9825,0.9825,10,0.12427514146828482,0.11872791627038878,0.05000000074505806,0.4802661508533126,ordinary_nn_samplewise_trust
