run_name,display_name,corruption,severity,condition,accuracy,error_rate,nll,brier,entropy_mean,entropy_correct_mean,entropy_error_mean,entropy_error_gap,entropy_error_auc,mutual_information_mean,mutual_information_error_gap,mutual_information_error_auc,examples
dropout_trust_none,Dropout MLP (none),occlusion,8.0,occlusion_8,0.642,0.358,1.3579302673339844,0.505511043548584,0.5973993104969852,0.4007143800013058,0.9501136271959411,0.5493992471946352,0.8268058528690022,0.24907399601774147,0.22349756252632963,0.8134495901425364,2000
dropout_trust_none,Dropout MLP (none),occlusion,12.0,occlusion_12,0.348,0.652,3.1179734802246095,0.9351492767333984,0.827967171915619,0.5769017743324882,0.9619714025274742,0.3850696281949859,0.7363687548480361,0.35892164716674324,0.11487594410763857,0.6577914551160002,2000
dropout_trust_none,Dropout MLP (none),occlusion,16.0,occlusion_16,0.2695,0.7304999999999999,2.965531219482422,1.0419910278320312,0.9944116043554831,0.7314231396630222,1.0914347271954807,0.36001158753245854,0.7000593031687194,0.24296569590853143,0.0021199366962897648,0.510210431008319,2000
bayesian_trust_none,Bayes by Backprop (none),clean,0.0,clean,0.9715,0.02849999999999997,0.09523559522628784,0.0448772828578949,0.08701125947529788,0.06944002988702105,0.6859744014055059,0.6165343715184849,0.9564518604798151,0.007381232750969708,0.05949253785851445,0.9582757717763271,2000
bayesian_trust_none,Bayes by Backprop (none),gaussian,0.15,gaussian_0.15,0.956,0.04400000000000004,0.15760873317718505,0.0715920033454895,0.1888648032092571,0.15712859776489527,0.8784059942276641,0.7212773964627688,0.9367511411182959,0.01343594156748319,0.05285205759465726,0.9263384366679346,2000
bayesian_trust_none,Bayes by Backprop (none),gaussian,0.3,gaussian_0.3,0.7745,0.22550000000000003,0.6705927276611328,0.3161480445861816,0.5029556120176878,0.3653761215874843,0.9754847265994734,0.610108605011989,0.8639262294964636,0.039740503751872665,0.041493257828675884,0.810917278724991,2000
bayesian_trust_none,Bayes by Backprop (none),gaussian,0.45,gaussian_0.45,0.526,0.474,1.863014404296875,0.6847481231689453,0.6608619966148581,0.4507314528935641,0.8940448362718214,0.4433133833782573,0.7841483371035279,0.06160524457242354,0.03519803966027862,0.7330020375094255,2000
bayesian_trust_none,Bayes by Backprop (none),occlusion,8.0,occlusion_8,0.695,0.30500000000000005,1.411084686279297,0.45414076232910155,0.4681578109185571,0.3039261640272815,0.8423905800642507,0.5384644160369692,0.8325215237645949,0.03067911469988411,0.03627979983723188,0.8264512324566576,2000
bayesian_trust_none,Bayes by Backprop (none),occlusion,12.0,occlusion_12,0.387,0.613,2.90484423828125,0.8781846466064454,0.8549899815920623,0.607332568000407,1.0113413993081644,0.40400883130775733,0.7160025460416218,0.04132602649313812,0.010755430562200019,0.6265022277864192,2000
bayesian_trust_none,Bayes by Backprop (none),occlusion,16.0,occlusion_16,0.245,0.755,2.701595733642578,0.9837047729492188,1.1557455098356586,0.7648421061709904,1.2825949587069747,0.5177528525359844,0.7652263819435059,0.026306907763006166,0.0010826996083726677,0.5428841735369645,2000
bayesian_dropout_0p1_trust_none,Bayesian + Dropout (none),clean,0.0,clean,0.9775,0.022499999999999964,0.08803685760498046,0.039240063905715945,0.12220665633222165,0.10691499179691308,0.7865445266995165,0.6796295349026034,0.9521454958795112,0.03885425890957139,0.22102977902815243,0.9424950269963057,2000
bayesian_dropout_0p1_trust_none,Bayesian + Dropout (none),gaussian,0.15,gaussian_0.15,0.959,0.041000000000000036,0.1592096576690674,0.06958357048034668,0.2779206346737931,0.24358597500538776,1.0810166986250296,0.8374307236196419,0.9383758488262672,0.06987484512125655,0.20318625992817058,0.9193837584882627,2000
bayesian_dropout_0p1_trust_none,Bayesian + Dropout (none),gaussian,0.3,gaussian_0.3,0.795,0.20499999999999996,0.5588218460083008,0.2704487838745117,0.6427439931857952,0.49701729367218794,1.207879242519053,0.710861948846865,0.8869627243442246,0.1528982827817781,0.13883220440549254,0.8289016720355883,2000
bayesian_dropout_0p1_trust_none,Bayesian + Dropout (none),gaussian,0.45,gaussian_0.45,0.5845,0.4155,1.3216550903320312,0.5514242401123047,0.8903155625695944,0.6709702602828438,1.1988771249922316,0.5279068647093879,0.8177569564326735,0.23257785713515478,0.10871130420058442,0.7390510366579888,2000
bayesian_dropout_0p1_trust_none,Bayesian + Dropout (none),occlusion,8.0,occlusion_8,0.6305,0.36950000000000005,1.5131313171386718,0.5389292907714843,0.5447850936184655,0.38371466105445184,0.8196292282101044,0.4359145671556526,0.7769238280935615,0.16358666063894953,0.12748446102292538,0.762388679216937,2000
bayesian_dropout_0p1_trust_none,Bayesian + Dropout (none),occlusion,12.0,occlusion_12,0.3505,0.6495,2.9630733642578124,0.8709844741821289,0.9353492725185242,0.5618484768911238,1.1369074385961284,0.5750589617050046,0.8139708038335206,0.25302619391403636,0.10952699506874641,0.7134029358696857,2000
bayesian_dropout_0p1_trust_none,Bayesian + Dropout (none),occlusion,16.0,occlusion_16,0.255,0.745,2.7446808776855467,0.9844654922485352,1.1358369620740414,0.774215020043958,1.2596135999501101,0.4853985799061521,0.7728740623766285,0.16131488050241025,0.0011689148853828435,0.4997302276615344,2000
bayesian_trust_depth_lambda0.15,Bayes by Backprop (depth lambda0.15),clean,0.0,clean,0.972,0.028000000000000025,0.09248917722702027,0.04318482780456543,0.08735769373298678,0.06875393812097245,0.7331737814071987,0.6644198432862263,0.9592978395061729,0.006320133748610129,0.055537978204436955,0.9588385508524397,2000
bayesian_trust_depth_lambda0.15,Bayes by Backprop (depth lambda0.15),gaussian,0.15,gaussian_0.15,0.956,0.04400000000000004,0.16125829315185547,0.07089875841140747,0.20002362449879074,0.1678573934494049,0.8989080991172655,0.7310507056678607,0.9327869437048307,0.01290154567943302,0.04860394206702273,0.9217799068086725,2000
bayesian_trust_depth_lambda0.15,Bayes by Backprop (depth lambda0.15),gaussian,0.3,gaussian_0.3,0.7685,0.23150000000000004,0.700564323425293,0.32391243743896486,0.5154168330214455,0.3718115454966844,0.9921367615863649,0.6203252160896805,0.8618469403384619,0.03657410382351986,0.03872364206187662,0.8188541533463269,2000
bayesian_trust_depth_lambda0.15,Bayes by Backprop (depth lambda0.15),gaussian,0.45,gaussian_0.45,0.5235,0.47650000000000003,1.8374551849365235,0.6794760589599609,0.65291923445063,0.42161315835429397,0.9070403904557337,0.48542723210143973,0.804006049363043,0.05521231364275809,0.036280406452018334,0.7569460939214725,2000
bayesian_trust_depth_lambda0.15,Bayes by Backprop (depth lambda0.15),occlusion,8.0,occlusion_8,0.676,0.32399999999999995,1.4782315979003906,0.4808633918762207,0.4812566726532245,0.32140823087899445,0.8147676190710627,0.4933593881920682,0.812020600482139,0.02820486505191933,0.032600680817645084,0.8207068631748119,2000
bayesian_trust_depth_lambda0.15,Bayes by Backprop (depth lambda0.15),occlusion,12.0,occlusion_12,0.3595,0.6405000000000001,2.8837918395996094,0.9004641723632812,0.862335855592232,0.5491748455111155,1.0381069455596972,0.4889321000485817,0.754712884036398,0.03512430501179325,0.010862301139867352,0.6431714617947775,2000
bayesian_trust_depth_lambda0.15,Bayes by Backprop (depth lambda0.15),occlusion,16.0,occlusion_16,0.2585,0.7415,2.6215464782714846,0.960822036743164,1.2140722116517135,0.8272685867358662,1.3489187889150265,0.5216502021791602,0.7663330772611845,0.023088757120654918,-0.001052797606469126,0.49198785461536354,2000
