model,batch_size,seed,mode,best_test_acc,baseline_best_test_acc,best_delta,final_test_acc,baseline_final_test_acc,final_delta,final_trust_mean
cnn,16,0,inverse_loss,0.9825,0.981,0.0015000000000000568,0.9825,0.9785,0.0040000000000000036,0.9897548025920591
cnn,16,0,final_layer_align,0.9845,0.981,0.0035000000000000586,0.9845,0.9785,0.006000000000000005,0.16761191866855216
cnn,16,0,final_layer_align_mag,0.983,0.981,0.0020000000000000018,0.977,0.9785,-0.0015000000000000568,0.1492818635797416
cnn,16,0,ema_final_layer_align,0.981,0.981,0.0,0.9735,0.9785,-0.0050000000000000044,0.11419781253774043
cnn,16,0,combined_simple,0.983,0.981,0.0020000000000000018,0.983,0.9785,0.0044999999999999485,0.11443356263780467
cnn,32,0,confidence,0.9795,0.983,-0.0034999999999999476,0.9795,0.9645,0.015000000000000013,0.988648699319109
cnn,32,0,entropy,0.985,0.983,0.0020000000000000018,0.985,0.9645,0.020499999999999963,0.981807529292208
cnn,32,0,inverse_loss,0.98,0.983,-0.0030000000000000027,0.9735,0.9645,0.009000000000000008,0.9862081867160527
cnn,32,0,final_layer_align,0.9875,0.983,0.0045000000000000595,0.9875,0.9645,0.02300000000000002,0.15001630225608534
cnn,32,0,final_layer_align_mag,0.981,0.983,-0.0020000000000000018,0.978,0.9645,0.013499999999999956,0.12162361441985935
cnn,32,0,ema_final_layer_align,0.9825,0.983,-0.0004999999999999449,0.9825,0.9645,0.018000000000000016,0.12427514146828482
cnn,32,0,combined_simple,0.9795,0.983,-0.0034999999999999476,0.978,0.9645,0.013499999999999956,0.10561780352805945
cnn,64,0,confidence,0.9795,0.9795,0.0,0.977,0.9775,-0.000500000000000056,0.987755280014471
cnn,64,0,entropy,0.9795,0.9795,0.0,0.9795,0.9775,0.0020000000000000018,0.9801394981695405
cnn,64,0,inverse_loss,0.981,0.9795,0.0014999999999999458,0.98,0.9775,0.0024999999999999467,0.9854329325628619
cnn,64,0,final_layer_align,0.981,0.9795,0.0014999999999999458,0.974,0.9775,-0.0035000000000000586,0.14728768117038915
cnn,64,0,final_layer_align_mag,0.981,0.9795,0.0014999999999999458,0.979,0.9775,0.0014999999999999458,0.11303623258433443
cnn,64,0,ema_final_layer_align,0.9785,0.9795,-0.0010000000000000009,0.9735,0.9775,-0.0040000000000000036,0.13587884890272262
cnn,64,0,combined_simple,0.98,0.9795,0.0004999999999999449,0.9715,0.9775,-0.006000000000000005,0.09929169693314438
cnn,128,0,confidence,0.9775,0.9815,-0.0040000000000000036,0.9775,0.9815,-0.0040000000000000036,0.9807495777036103
cnn,128,0,entropy,0.9805,0.9815,-0.0010000000000000009,0.9805,0.9815,-0.0010000000000000009,0.9680605119382831
cnn,128,0,inverse_loss,0.9775,0.9815,-0.0040000000000000036,0.977,0.9815,-0.0045000000000000595,0.9809967875480652
cnn,128,0,final_layer_align,0.979,0.9815,-0.0025000000000000577,0.977,0.9815,-0.0045000000000000595,0.17706652678234477
cnn,128,0,final_layer_align_mag,0.982,0.9815,0.0004999999999999449,0.982,0.9815,0.0004999999999999449,0.11740636594698463
cnn,128,0,ema_final_layer_align,0.9745,0.9815,-0.007000000000000006,0.974,0.9815,-0.007500000000000062,0.15211011081094472
cnn,128,0,combined_simple,0.9805,0.9815,-0.0010000000000000009,0.977,0.9815,-0.0045000000000000595,0.09853226675743788
